,do_nothing,mine_minerals,mine_gas,build_assimilator,build_pylon,build_gateway,build_cybercore,train_probe,train_zealot,train_stalker,harass,attack_all
[17  2  1  6 11  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08057391480000001,-0.5698334964123671,0.0
[17  2  1  6 11  1  1  2],0.3010834882798555,0.20969043480000005,2.2653720919983935,0.0,0.29084062339554057,0.3982211984520001,0.21394800000000005,1.313199652332,0.0,0.20969043480000005,0.0,0.4858749988169342
[18  2  1  6 11  1  1  2],0.5177205160348405,0.3608549672752437,3.615818089751058,0.21896431525692006,0.8585925777855608,0.3446005172101383,0.5927004068434816,1.9084644417621255,0.2846818236255957,0.0,1.7189681041612723,1.424042163859725
[18  2  1  6 11  1  1  1],0.42192017601957854,0.7946106164288983,0.3201390053015293,0.24541060201927692,0.9877526311673884,0.7072295149497435,1.0335663069004486,4.352286887397278,1.4818333541558366,0.2996688634985965,0.1933674211449,0.0
[18  2  1  6 11  1  1  0],1.2556597684428,-0.7622283993193717,0.0,0.91664,0.0,0.12960000000000002,0.12960000000000002,0.12960000000000002,0.0,0.11300937915985199,0.0,0.4344578693015293
[18  2  1  7  8  1  1  0],0.8451176032332001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07200000000000001,0.0,0.0,0.0
[18  2  1  8  6  1  1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[13  0  0  0  2  0  0  0],3.948074746790337e-12,3.78003389829421e-12,3.838747242800597e-12,3.8830813932104874e-12,3.211878590868453e-12,5.055416935089415e-12,3.810891517915569e-12,1.1759490572923996e-11,4.12200634446118e-12,6.168574603270391e-12,3.4734796123383193e-12,3.3483278191013864e-12
[13  0  0  0  9  0  0  0],8.502901804710511e-14,9.163220555773949e-12,2.0940037071247214e-12,2.97351914827404e-13,1.2552310242055361e-12,1.969199734383481e-12,1.674094809174456e-12,2.853140819790161e-13,2.4903657681650034e-12,1.5823564615689635e-12,2.096548134768735e-12,2.345090845180284e-12
[14  0  0  0  9  0  0  0],2.572336957278295e-12,6.093978546999164e-12,9.036379746724975e-13,2.541012949966744e-12,3.480198367415095e-12,5.006675354375428e-12,1.9093634914387726e-12,3.0990911310053954e-11,2.515631613394165e-12,2.5479760380834066e-12,5.5315355241284436e-12,1.5375383763357519e-12
[13  0  0  0  8  0  0  0],1.9686674394453397e-11,2.8720488411645197e-11,3.256636171587797e-12,4.665858596048246e-12,0.0,1.389465841869266e-11,1.516259068742045e-14,5.821095634698255e-12,1.0475903012204981e-11,3.006410978464974e-11,4.216350402464252e-12,1.6586986377756415e-11
[14  0  0  0  8  0  0  0],9.261257859954448e-11,4.0408474397633156e-11,5.395701418464417e-11,5.6537592461342376e-11,6.577589418677184e-11,3.627118062632352e-11,7.512390763439638e-11,1.3089745803868675e-10,3.0058481808902473e-10,3.7772989792820295e-11,3.949827154541562e-11,6.892134270661809e-11
[14  0  0  0  8  1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[14  0  0  0 16  1  0  0],0.0,1.0057048862947633e-11,0.0,0.0,0.0,1.0965083858041533e-12,1.1186692231140426e-12,0.0,0.0,0.0,1.4851801931524531e-12,0.0
[14  0  0  0 16  1  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[14  0  0  0 16  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[15  0  0  0 16  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[14  0  0  0 24  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[15  0  0  0 24  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[14  0  0  0 23  1  1  1],0.0,0.0,0.0,7.993358271690764e-11,0.0,0.0,7.194022444521689e-12,0.0,0.0,7.194022444521689e-12,0.0,0.0
[15  0  0  0 22  1  1  1],0.0,3.783846063570829e-10,1.1826704314236955e-08,0.0,3.783846063570829e-10,9.743747778958143e-08,6.470376768706121e-11,0.0,9.868343545297239e-09,6.920964031405091e-09,2.65606777932056e-07,1.0826386421064602e-06
[15  1  0  0 22  1  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[16  1  0  0 22  1  1  1],0.0,0.0,3.563969038856976e-09,0.0,3.563969038856976e-09,0.0,3.563969038856976e-09,0.0,1.1999133750845418e-06,0.0,0.0,0.0
[16  1  0  0 22  1  1  2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[17  1  0  0 22  1  1  2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[16  2  0  0 22  1  1  2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[17  2  0  0 22  1  1  2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
